@@,name,position
---,Imran Khan,Prime Minister of Pakistan
+++,Syed Shibli Faraz,Science and Technology
+++,Syed Fakhar Imam,National Food Security and Research
+++,Syed Amin Ul Haque,Information Technology & Telecom
+++,Syed Ali Haider Zaidi,Maritime Affairs
+++,Sheikh Rashid Ahmed,Interior
+++,Sahibzada Muhammad Mehboob Sultan,States & Frontier Regions
+++,Muhammad Azam Khan Swati,Railways
+++,Ms. Zubaida Jalal,Defence Production
+++,Mr. Shafqat Mahmood,"Federal Education, Professional Training, National Heritage and Culture"
+++,Mr. Pervez Khattak,Defence
+++,Mr. Omar Ayub Khan,Economic Affairs
+++,Mr. Noor-Ul-Haq Qadri,Religious Affairs and Inter-faith Harmony
+++,Mr. Murad Saeed,Communications
+++,Mr. Muhammad Mian Soomro,Privatization
+++,Mr. Muhammad Hammad Azhar,Energy
+++,Mr. Moonis Elahi,Water Resources
+++,Mr. Ijaz Ahmad Shah,Narcotics Control
+++,Mr. Ghulam Sarwar Khan,Aviation Division
+++,Mr. Fawad Ahmed,Information and Broadcasting
+++,Mr. Asad Umer,"Planning, Development and Special Initiatives"
+++,Mr. Ali Amin Khan Gandapur,Kashmir Affairs & Gilgit Baltistan
+++,Makhdoom Shah Mahmood Hussain Qureshi,Foreign Affairs
+++,Makhdoom Khusro Bukhtiar,Industries and Production
+++,Dr. Shireen M. Mazari,Human Rights
+++,Dr. Mohammad Farogh Naseem,Law and Justice
+++,Dr. Fehmida Mirza,Inter-Provincial Coordination
+++,Chaudhary Tariq Bashir Cheema,Housing and Works
