name,position
Sherry Rehman,Climate Change
Syed Naveed Qamar,Commerce
Mr. Asad Mahmood,Communications
Khawaja Muhammad Asif,Defence
Mr. Muhammad Israr Tareen,Defence Production
Rana Tanveer Hussain,Federal Education and professional Training
Mian Javed Latif,Federal Minister
Chaudhry Salik Hussain,Federal Minister
Mr. Murtaza Javed Abbasi,Federal Minister
Mian Riaz Hussain Pirzada,Federal Minister
Mr. Khurram Dastgir Khan,Federal Minister
Sardar Ayaz Sadiq,Federal Minister
Mr. Miftah Ismail,Finance and Revenue
Mr. Abdul Wasay,Housing and Works
Syed Murtaza Mahmud,Industries and Production
Ms. Marriyum Aurangzeb,Information and Broadcasting
Syed Amin Ul Haque,Information Technology and Telecommunication
Mr. Ehsan Ur Rehman Mazari,Inter Provincial Coordination
Rana Sana Ullah Khan,Interior
Azam Nazeer Tarar,Law and Justice
Syed Faisal Ali Subzwari,Maritime Affairs
Nawabzada Shazain Bugti,Narcotics Control
Chaudhary Tariq Bashir Cheema,National Food Security and Research
Mr. Abdul Qadir Patel,"National Health Services, Regulations and Coordination"
Mr. Sajid Hussain Turi,Overseas Pakistanis and Human Resource Development
Mr. Ahsan Iqbal Chaudhary,"Planning, Development and Special Initiatives"
Ms. Shazia Marri,Poverty Alleviation and Social Safety
Mr. Abid Hussain Bhayo,Privatization
Khawaja Saad Rafique,Railways
Khawaja Saad Rafique,Aviation
Mufti Abdul Shakoor,Religious Affairs and Interfaith Harmony
Mr. Agha Hassan Baloch,Science and Technology
Muhammad Talha Mahmood,States and Frontier Regions
Syed Khursheed Ahmed Shah,Water Resources
