region,regionLabel,position,positionLabel,person,personLabel,start,psid
Q200130,Azad Kashmir,Q25548295,Prime Minister of Azad Kashmir,,,,
Q163239,Balochistan,Q3695530,Chief Minister of Balochistan,Q18750287,Jam Kamal Khan,2018-08-19,Q18750287-5bc79547-4ee7-f9ef-b3fa-9875abf75dd7
Q200697,Gilgit-Baltistan,Q8135012,Chief Minister of Gilgit-Baltistan,Q20724398,Hafiz Hafeez ur Rehman,2015-06-25,Q20724398-e984044e-4d75-db36-5803-4d57b7df84f7
Q200697,Gilgit-Baltistan,Q8135012,Chief Minister of Gilgit-Baltistan,Q101989183,Khalid Khurshid,2020-11-30,Q101989183-1e66f536-45a5-9050-2dc9-e7a9eadbba2b
Q848613,Islamabad Capital Territory,Q28172635,Mayor of Islamabad,Q26923792,Sheikh Ansar Aziz,2016-03-04,Q26923792-a84e7dac-4025-d8a4-b49e-9b71e5190997
Q183314,Khyber Pakhtunkhwa,Q5096852,Chief Minister of Khyber Pakhtunkhwa,Q47376718,Mahmood Khan,2018-08-17,Q47376718-62df62eb-4adf-6c2c-bf5a-3ae9414b9b89
Q4478,Punjab,Q1837955,Chief Minister of Punjab,Q16208895,Hasan Askari Rizvi,2018-06-08,Q16208895-be8cc713-43ac-43a0-2433-e9d3e67eea80
Q4478,Punjab,Q1837955,Chief Minister of Punjab,Q55825094,Usman Ahmed Khan Buzdar,2018-08-19,Q55825094-b5a760c9-4934-148f-36bf-2102e9212e58
Q37211,Sindh,Q3694864,Chief Minister of Sindh,Q26132883,Mohsin,2018-08-18,Q26132883-5730368d-46a3-2134-65c0-09c9b813d161
